ZIP,household_count,City/Town,County,Population
99036,696,Valleyford,Spokane County,1546
99037,6189,Veradale,Spokane County,15464
99039,61,Waverly,Spokane County,171
99040,289,Wellpinit,Stevens County,643
99101,765,Addy,Stevens County,1635
99102,242,Albion,Whitman County,509
99103,254,Almira,Lincoln County,603
99105,19,Benge,Adams County,31
99109,2610,Chewelah,Stevens County,4894
99110,680,Clayton,Stevens County,1465
99111,1920,Colfax,Whitman County,4012
99113,273,Colton,Whitman County,555
99114,6154,Colville,Stevens County,12948
99115,974,Coulee City,Douglas County,1224
99116,823,Coulee Dam,Okanogan County,1538
99117,288,Creston,Lincoln County,568
99118,510,Curlew,Ferry County,997
99119,1319,Cusick,Pend Oreille County,1514
99121,140,Danville,Ferry County,332
99122,2262,Davenport,Lincoln County,4037
99123,560,Electric City,Grant County,852
99124,137,Elmer City,Okanogan County,270
99125,311,Endicott,Whitman County,626
99126,284,Evans,Stevens County,952
99128,149,Farmington,Whitman County,289
99129,405,Fruitland,Stevens County,690
99130,335,Garfield,Whitman County,833
99131,138,Gifford,Stevens County,122
99133,847,Grand Coulee,Douglas County,1377
99134,296,Harrington,Lincoln County,572
99135,211,Hartline,Grant County,452
99136,21,Hay,Whitman County,17
99137,219,Hunters,Stevens County,399
99138,654,Inchelium,Ferry County,1103
99139,607,Ione,Pend Oreille County,800
99140,278,Keller,Ferry County,568
99141,3015,Kettle Falls,Ferry County,6160
99143,346,Lacrosse,Whitman County,691
99144,6,Lamona,Lincoln County,19
99146,43,Laurier,Ferry County,59
99147,144,Lincoln,Lincoln County,152
99148,2099,Loon Lake,Stevens County,2358
99149,56,Malden,Whitman County,194
99150,141,Malo,Ferry County,281
99151,90,Marcus,Stevens County,182
99152,86,Metaline,Pend Oreille County,144
99153,365,Metaline Falls,Pend Oreille County,432
99154,8,Mohler,Lincoln County,38
99155,431,Nespelem,Okanogan County,977
99156,4981,Newport,Pend Oreille County,9132
99157,431,Northport,Stevens County,655
99158,239,Oakesdale,Whitman County,619
99159,664,Odessa,Lincoln County,1186
99160,53,Orient,Ferry County,47
99161,651,Palouse,Whitman County,1366
99163,14888,Pullman,Whitman County,33829
99166,1682,Republic,Ferry County,2936
99167,496,Rice,Stevens County,720
99169,1206,Ritzville,Adams County,2494
99170,475,Rosalia,Whitman County,955
99171,488,Saint John,Whitman County,969
99173,747,Springdale,Stevens County,1898
99174,38,Steptoe,Whitman County,32
99176,101,Thornton,Whitman County,136
99179,220,Uniontown,Whitman County,568
99180,380,Usk,Pend Oreille County,741
99181,1110,Valley,Stevens County,1928
99185,790,Wilbur,Lincoln County,1385
99201,8842,Spokane,Spokane County,14246
99202,8296,Spokane,Spokane County,20829
99203,9742,Spokane,Spokane County,21984
99204,4357,Spokane,Spokane County,7189
99205,18791,Spokane,Spokane County,44216
99206,17339,Spokane,Spokane County,42850
99207,13673,Spokane,Spokane County,32219
99208,24273,Spokane,Spokane County,58172
99212,9496,Spokane,Spokane County,21013
99216,12703,Spokane,Spokane County,27302
99217,8166,Spokane,Spokane County,19533
99218,6464,Spokane,Spokane County,16305
99223,15252,Spokane,Spokane County,34868
99224,10559,Spokane,Spokane County,24455
99251,0,Spokane,Spokane County,1056
99258,4,Spokane,Spokane County,502
99301,27700,Pasco,Franklin County,85210
99320,3781,Benton City,Benton County,10023
99321,213,Beverly,Grant County,851
99322,250,Bickleton,Klickitat County,406
99323,1409,Burbank,Walla Walla County,4219
99324,3601,College Place,Walla Walla County,10076
99326,1413,Connell,Franklin County,5900
99328,1967,Dayton,Columbia County,3669
99329,61,Dixie,Walla Walla County,156
99330,266,Eltopia,Franklin County,876
99333,30,Hooper,Whitman County,91
99335,98,Kahlotus,Franklin County,171
99336,20915,Kennewick,Benton County,51329
99337,11725,Kennewick,Benton County,32581
99338,6909,Kennewick,Benton County,18312
99341,332,Lind,Adams County,736
99343,778,Mesa,Franklin County,3522
99344,5936,Othello,Adams County,19630
99345,73,Paterson,Benton County,164
99346,88,Plymouth,Benton County,372
99347,1325,Pomeroy,Garfield County,2429
99348,721,Prescott,Walla Walla County,1590
99349,2754,Mattawa,Grant County,7531
99350,4954,Prosser,Benton County,14287
99352,15522,Richland,Benton County,35618
99353,6592,West Richland,Benton County,18264
99354,10807,Richland,Benton County,25676
99356,108,Roosevelt,Klickitat County,331
99357,1123,Royal City,Grant County,3973
99359,80,Starbuck,Columbia County,100
99360,507,Touchet,Walla Walla County,1400
99361,908,Waitsburg,Walla Walla County,1668
99362,18022,Walla Walla,Walla Walla County,43028
99363,66,Wallula,Walla Walla County,96
99371,254,Washtucna,Adams County,309
99401,150,Anatone,Asotin County,383
99402,843,Asotin,Asotin County,1594
99403,9192,Clarkston,Asotin County,20425
