ZIP,Household Count,City/Town,County,Population,,,,,,,
92301,"38,565",Adelanto,San Bernardino County,"38,565",,,,,,,
94606,"38,459",Oakland,Alameda County,"38,459",,,,,,,
90012,"38,430",Los Angeles,Los Angeles County,"38,430",,,,,,,
95928,"38,412",Chico,Butte County,"38,412",,,,,,,
92543,"38,403",Hemet,Riverside County,"38,403",,,,,,,
90020,"38,400",Los Angeles,Los Angeles County,"38,400",,,,,,,
95973,"38,323",Chico,Butte County,"38,323",,,,,,,
94954,"38,201",Petaluma,Sonoma County,"38,201",,,,,,,
94044,"38,061",Pacifica,San Mateo County,"38,061",,,,,,,
92672,"38,020",San Clemente,San Diego County,"38,020",,,,,,,
95120,"38,003",San Jose,Santa Clara County,"38,003",,,,,,,
94590,"37,991",Vallejo,Solano County,"37,991",,,,,,,
93021,"37,980",Moorpark,Ventura County,"37,980",,,,,,,
92253,"37,898",La Quinta,Riverside County,"37,898",,,,,,,
92083,"37,864",Vista,San Diego County,"37,864",,,,,,,
90005,"37,754",Los Angeles,Los Angeles County,"37,754",,,,,,,
90036,"37,713",Los Angeles,Los Angeles County,"37,713",,,,,,,
91763,"37,698",Montclair,San Bernardino County,"37,698",,,,,,,
94555,"37,671",Fremont,Alameda County,"37,671",,,,,,,
92037,"37,665",La Jolla,San Diego County,"37,665",,,,,,,
91711,"37,542",Claremont,Los Angeles County,"37,542",,,,,,,
94061,"37,539",Redwood City,San Mateo County,"37,539",,,,,,,
90031,"37,457",Los Angeles,Los Angeles County,"37,457",,,,,,,
93245,"37,439",Lemoore,Kings County,"37,439",,,,,,,
95404,"37,437",Santa Rosa,Sonoma County,"37,437",,,,,,,
95821,"37,436",Sacramento,Sacramento County,"37,436",,,,,,,
94124,"37,347",San Francisco,San Francisco County,"37,347",,,,,,,
90301,"37,341",Inglewood,Los Angeles County,"37,341",,,,,,,
91776,"37,340",San Gabriel,Los Angeles County,"37,340",,,,,,,
95825,"37,310",Sacramento,Sacramento County,"37,310",,,,,,,
90804,"37,299",Long Beach,Los Angeles County,"37,299",,,,,,,
92337,"37,292",Fontana,San Bernardino County,"37,292",,,,,,,
95993,"37,222",Yuba City,Sutter County,"37,222",,,,,,,
92883,"37,211",Corona,Riverside County,"37,211",,,,,,,
91752,"37,173",Mira Loma,Riverside County,"37,173",,,,,,,
93612,"37,138",Clovis,Fresno County,"37,138",,,,,,,
92054,"37,050",Oceanside,San Diego County,"37,050",,,,,,,
94603,"37,042",Oakland,Alameda County,"37,042",,,,,,,
95126,"36,996",San Jose,Santa Clara County,"36,996",,,,,,,
95401,"36,905",Santa Rosa,Sonoma County,"36,905",,,,,,,
92065,"36,836",Ramona,San Diego County,"36,836",,,,,,,
95340,"36,833",Merced,Merced County,"36,833",,,,,,,
93305,"36,783",Bakersfield,Kern County,"36,783",,,,,,,
91362,"36,770",Thousand Oaks,Ventura County,"36,770",,,,,,,
94520,"36,699",Concord,Contra Costa County,"36,699",,,,,,,
95121,"36,657",San Jose,Santa Clara County,"36,657",,,,,,,
92706,"36,548",Santa Ana,Orange County,"36,548",,,,,,,
91326,"36,503",Porter Ranch,Los Angeles County,"36,503",,,,,,,
